index,name,servces,rating,bonus
52, Montegos Caribbean Grill," American, Caribbean, BBQ, and Burgers", 4.2 ,
53, 01 Adana Restaurant," Dessert, Chicken, Turkish, and Salads", 4.6 ,
54, Scratch," Chicken, Fried chicken, Brunch, and Healthy", 4.6 ,
55, King Gourmet," Chicken, Burgers, and Pizza", 3.9 ,
56, Autograf," Chicken, Dumplings, Polish, and Alcohol", 4.7 ,
57, Standard Tandoori Restaurant," Indian, Bangladeshi, Curry, and Asian", 4.6 ,
58, Favourite Pizza and Chicken," Pizza, American, Burgers, and Chicken", 4.4 ,
59, Wing Boss - Wings & Mac," Wings, Fried chicken, Chicken, and American", 4.0 ,
60, The Taste Box, Chicken and Caribbean, 4.0 ,
61, Island Fried Chicken 🏝," American, Dessert, Chicken, and Caribbean", 3.9 ,
62, Mexican Taco," Mexican, Chicken, Steak, and Tacos", 4.7 ,
63, Crystal Turkish Restaurant ," Turkish, Chicken, Kebab, and Salads", 4.3 ,
64, Archway Kebab," British, Burgers, Chicken, and Wings", 4.3 ,
65, Diyarbakir Restaurant," Turkish, Kebab, BBQ, and Chicken", 4.3 ,
66, Tasty African, Chicken and African, 4.5 ,
67, New Tokyo Sushi," Japanese, Sushi, Drinks, and Chicken", 4.1 ,
68, E," Kebab, Turkish, Chicken, and Wraps", 4.6 ,
69, Tops Pizza Kentish Town," Italian, Pizza, and Chicken", 4.2 ,
70, Asia Village," Chinese, Chicken, and Noodles", 4.4 ,
