index,name,servces,rating,bonus
39, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
40, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,
41, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
42, EggsQuisite," British, Breakfast, Brunch, and American", 4.7 ,
43, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
44, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
45, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
46, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
47, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
48, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
49, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
50, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
51, FoodSlut x Mall Tavern Burger Collaboration," Burgers, American, Chicken, and Alcohol", 4.6 ,
52, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
53, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
54, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
55, Aubaine," French, Dessert, Burgers, and Salads", 4.7 ,
56, Wicked Wings," American, Chicken, Wings, and Burgers", 4.5 ,
57, Filth & Co," Burgers, Milkshakes, and Drinks", 4.4 ,
58, Siirgista Bros Burger Bar," Burgers, American, Milkshakes, and Wings", 4.5 ,
59, 🍔 🍖 Korean Food Truck 🍖🍔," Korean, Burgers, Chicken, and Asian", 4.6 ,
60, Wulf & Lamb," Breakfast, Salads, Dessert, and Burgers", 4.8 ,
61, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.7 ,
62, Stecca," Italian, Pasta, Healthy, and Burgers", 4.7 ,
63, Gaucho Wine Shop," Steak, Alcohol, Argentinian, and Wine", 4.8 ,
64, Tomtom Coffee House," Burgers, Breakfast, and Coffee", 4.8 ,
65, Urban Doner Kebab - German," Turkish, Kebab, German, and Burgers", 4.1 ,
66, Lil’Pecker," Chicken, Dessert, American, and Milkshakes", 4.3 ,
67, Roosters Piri Piri ," Burgers, Chicken, Wraps, and Wings", 4.6 ,
68, King's pizza," Pizza, American, Burgers, and Pasta", 3.9 ,
69, Smoky Boys ," American, Burgers, Chicken, and Milkshakes", 4.5 ,
70, Burger Bar Republic, American and Burgers, 4.1 ,
