index,name,servces,rating,bonus
47, Local Greens by Kitchen Ventures," Healthy, British, Salads, and Chicken", 4.8 ,
48, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
49, Plum Valley Restaurant 梅花村," Dim Sum, Noodles, Cantonese, and Chinese", 4.7 ,
50, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
51, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
52, Barburrito 🌯," American, Burritos, Mexican, and Chicken", 4.5 ,
53, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
54, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
55, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
56, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
57, Baker and Spice - Chelsea," Greek, Salads, Mediterranean, and Italian", 4.7 ,
58, Haidilao Hot Pot 海底捞," Chinese, Hot pot, Chicken, and Sichuan", 4.9 ,
59, 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️," Chicken, Dessert, American, and Salads", 4.6 ,
60, Farmshop," Chicken, Dessert, British, and Steak", 4.9 ,
61, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
62, OTTOLENGHI," Chicken, Dessert, Mezze, and Brunch", 4.8 ,
63, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
64, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
65, Bombay Street Food," Indian, Chicken, Asian, and Curry", 4.8 ,
66, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
67, Chicken and Cevapi, Chicken and Mediterranean, 4.7 ,
68, FoodSlut x Mall Tavern Burger Collaboration," Burgers, American, Chicken, and Alcohol", 4.6 ,
69, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
70, Satay House," Malaysian, Chicken, and Noodles", 4.8 ,
