index,name,services,rating,bonus
36, Gun Smoke," American, Burgers, Chicken, and Milkshakes", 4.4 ,
37, Capri Pizza Kebab & Fried Chicken," American, Pizza, Kebab, and Fried chicken", 4.0 ,
38, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.6 ,
39, Ma Plucker Chicken," British, Burgers, Fried chicken, and Wings", 4.0 ,
40, Hot Dog Parade, American and Burgers, 4.3 ,
41, Beirut Deli," Turkish, Café, Chicken, and Asian", 4.2 ,
42, Chicken Rules ," American, Burgers, Chicken, and Fried chicken", 4.1 ,
43, Rosie Lee Cafe, Burgers and Turkish, 4.4 ,
44, Costas Cafe & Burger House," Breakfast, Brunch, Burgers, and Drinks", 4.6 ,
45, Sides R Us," American, British, Pasta, and Burgers", 4.2 ,
46, The Limes Burger, Burgers, 4.6 ,
47, Konnigans," BBQ, Burgers, and British", 4.4 ,
48, Kebab Centre," Burgers, Kebab, Lebanese, and Chicken", 4.2 ,
49, The Station Gourmet Burgers," American, Burgers, and Milkshakes", 4.5 ,
50, What A Chicken Peri Peri," Burgers, Wraps, Fried chicken, and Chicken", 4.4 ,
51, Fresh Fish Bar," British, Fish and chips, Dessert, and Burgers", 4.1 ,
52, Sizzle N Shake," Chicken, Dessert, Burgers, and Milkshakes", 4.3 ,
53, Maeme’s , Burgers and Chicken, 4.5 ,
54, Coocina Burgers (Halal) , American and Burgers, 4.5 ,
55, Dallas Chicken and Ribs," Burgers, Chicken, American, and Fried chicken", 4.1 ,
56, OTT Burgers , Burgers and American, 4.0 ,
57, Dallas Chicken & Ribs," American, Chicken, Fried chicken, and Burgers", 4.1 ,
58, Karma Burger, American and Burgers,no rating,
59, Beverly Hills Burger ," Sandwiches, Burgers, Drinks, and American",no rating,
60, Neat Burger - Plant Based🌱," American, Burgers, Milkshakes, and Dessert", 4.7 ,
61, M Jerk Flavors," Caribbean, Burgers, Wraps, and Chicken", 4.0 ,
62, Wraps Pittas & Buns," Chicken, Burgers, and Wraps", 4.4 ,
63, Wing Shack Co," British, American, Wings, and Burgers", 4.7 ,
64, Lil’Pecker," Chicken, Dessert, American, and Milkshakes", 4.3 ,
65, Roosters Piri Piri ," Chicken, American, Dessert, and Burgers", 4.4 ,
66, Burger & Lobster ," American, Burgers, and Seafood", 4.6 ,
67, Bleecker Burger," Burgers, American, and Milkshakes", 4.6 ,
68, Battersea Fish Bar," Burgers, Kebab, Fish and chips, and British", 4.4 ,
69, Macro Food," Chicken, Salads, Healthy, and Juices", 4.8 ,
70, Burger King - Balham," Burgers, American, and Fried chicken", 4.5 ,
