index,name,services,rating,bonus
31, Clean Kitchen - Vegan," American, Salads, Burgers, and Healthy", 4.5 ,
32, Mr Chow Chinese Takeaway," Chinese, Chicken, and Noodles", 3.9 ,
33, Meiwei London 美味宮," Dim Sum, Chinese, Seafood, and Chicken", 4.6 ,
34, Macro Food," Chicken, Salads, Healthy, and Juices", 4.8 ,
35, Khas," Indian, Curry, Chicken, and Seafood", 4.4 ,
36, MamaLan - Clapham," Chinese, Noodles, Dumplings, and Dim Sum", 4.6 ,
37, THE ORANGE BUFFALO," American, Wings, BBQ, and Fried chicken", 4.6 ,
38, Calowries," Wraps, Healthy, Salads, and Burgers", 4.8 ,
39, B-Town by Werty," Burgers, American, Chicken, and Dessert", 4.5 ,
40, YORI Korean Wimbledon," Korean, BBQ, Asian, and Noodles", 4.7 ,
41, Chicken Cottage," Chicken, Fried chicken, Wings, and American", 4.4 ,
42, Hyderabadi Zaiqa," Chinese, Indian, Dessert, and Chicken",no rating,
43, Wing Shack Co," British, American, Wings, and Burgers", 4.7 ,
44, Chick'N'Bun," Chicken, Fried chicken, American, and Burgers", 4.4 ,
45, Habaneros," Chicken, American, Burgers, and Milkshakes", 4.5 ,
46, Diba," Mezze, Middle Eastern, Dessert, and Chicken", 4.5 ,
47, Lahore Karahi," Pakistani, Kebab, Seafood, and Chicken", 4.5 ,
48, Honi Katsu," Asian Fusion, Curry, Japanese, and Chicken", 4.6 ,
49, Mother's Pad Thai," Thai, Chicken, and Curry",no rating,
50, Ambience," Burgers, Turkish, Seafood, and Salads", 4.5 ,
51, Panzerotto Blues - Sourdough Stone Baked Pizza," Pizza, Italian, Wraps, and Chicken", 4.5 ,
52, Smoke Daddies," American, Burgers, and Chicken", 4.6 ,
53, The Blue Moon 蓝月," Chinese, Chicken, Dim Sum, and Seafood", 4.6 ,
54, Shikumen Express," Chinese, Dim Sum, Noodles, and Seafood", 4.5 ,
55, Seascape Fish Bar," Seafood, Fish and chips, Burgers, and Chicken", 4.6 ,
56, Piri Piri Grill - 14 Upper Tooting Road," Chicken, American, Fried chicken, and Burgers", 4.5 ,
57, Lighthouse Fish Bar," British, Fish and chips, Burgers, and Chicken", 4.6 ,
58, Chefly ," Salads, British, Healthy, and Chicken", 4.7 ,
59, China Palace," Chinese, Chicken, Seafood, and Noodles", 4.3 ,
60, Gourmet 2," Lebanese, Falafel, Mezze, and Dessert", 4.6 ,
61, The Urban Greek ," Greek, Chicken, Mediterranean, and Wraps", 4.5 ,
62, New Morley," Chicken, Western, Burgers, and BBQ", 4.2 ,
63, Roosters Piri Piri ," Chicken, American, Dessert, and Burgers", 4.4 ,
64, Mountain Express," Grocery, Alcohol, Chicken, and Juices", 4.6 ,
65, TAKO - Battersea," Burritos, Mexican, Chicken, and Tacos", 4.5 ,
66, Wha Gwan Restaurant, Caribbean and Chicken, 3.7 ,
67, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,
68, Gun Smoke," American, Burgers, Chicken, and Milkshakes", 4.4 ,
69, China Town," Chinese, Chicken, and Noodles", 3.9 ,
70, Al Majles ," Chicken, Mezze, Lebanese, and Mediterranean", 4.6 ,
