index,name,services,rating,bonus
41, Harrods Dining Hall," British, Italian, Pasta, and Steak", 4.8 ,
42, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
43, The Farmer's Mistress," British, Burgers, Salads, and Milkshakes", 4.8 ,
44, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
45, Dirty Vegan," American, Burgers, and Drinks", 4.6 ,
46, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
47, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
48, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
49, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
50, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
51, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
52, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
53, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
54, FoodSlut x Mall Tavern Burger Collaboration," Burgers, American, Chicken, and Alcohol", 4.6 ,
55, Wicked Wings," American, Chicken, Wings, and Burgers", 4.5 ,
56, Roosters Piri Piri," Chicken, American, Dessert, and Burgers", 4.6 ,
57, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
58, Siirgista Bros Burger Bar," Burgers, American, Milkshakes, and Wings", 4.5 ,
59, Aubaine," French, Dessert, Burgers, and Salads", 4.7 ,
60, Filth & Co," Burgers, Milkshakes, and Drinks", 4.4 ,
61, 🍔 🍖 Korean Food Truck 🍖🍔," Korean, Burgers, Chicken, and Asian", 4.6 ,
62, Wulf & Lamb," Breakfast, Salads, Dessert, and Burgers", 4.8 ,
63, Bluebelles of Portobello," British, American, Sandwiches, and Burgers", 4.7 ,
64, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.7 ,
65, Tomtom Coffee House," Burgers, Breakfast, and Coffee", 4.8 ,
66, Stecca," Italian, Pasta, Healthy, and Burgers", 4.7 ,
67, Roosters Piri Piri ," Burgers, Chicken, Wraps, and Wings", 4.6 ,
68, Gaucho Wine Shop," Steak, Alcohol, Argentinian, and Wine", 4.8 ,
69, Lil’Pecker," Chicken, Dessert, American, and Milkshakes", 4.3 ,
70, House of Kebab," Burgers, Salads, Turkish, and Wraps", 4.0 ,
