index,name,services,rating,bonus
47, Local Greens by Kitchen Ventures," Healthy, British, Salads, and Chicken", 4.8 ,
48, Diba," Mezze, Middle Eastern, Dessert, and Chicken", 4.5 ,
49, Pepe's Piri Piri," Chicken, Fried chicken, and Burgers", 4.6 ,
50, Barburrito 🌯," American, Burritos, Mexican, and Chicken", 4.5 ,
51, Plum Valley Restaurant 梅花村," Dim Sum, Noodles, Cantonese, and Chinese", 4.7 ,
52, Amigos Burgers and Shakes," Burgers, Chicken, American, and Milkshakes", 4.3 ,
53, Poke Circle," Salads, Poke, Hawaiian, and Asian", 4.8 ,
54, Bluebird Chelsea Café," Salads, British, American, and Sandwiches", 4.7 ,
55, Famous Pizza," Pizza, Burgers, Italian, and Chicken", 4.6 ,
56, King of Wings," American, Dessert, Burgers, and Chicken", 4.7 ,
57, Foxden Restaurant," British, Burgers, Alcohol, and Chicken", 4.7 ,
58, Chicken Hub - Paddington," Fried chicken, BBQ, Burgers, and Wraps", 4.5 ,
59, Chick Pop," Burgers, American, Dessert, and Chicken", 4.6 ,
60, Haidilao Hot Pot 海底捞," Chinese, Hot pot, Chicken, and Sichuan", 4.9 ,
61, Wicked Burgers ," American, Burgers, Chicken, and British", 4.5 ,
62, Baker and Spice - Chelsea," Greek, Salads, Mediterranean, and Italian", 4.7 ,
63, OTTOLENGHI," Chicken, Dessert, Mezze, and Brunch", 4.8 ,
64, Farmshop," Chicken, Dessert, British, and Steak", 4.9 ,
65, 🍕⚡️BROOKLYN PIZZA CREW 🍕⚡️," Chicken, Dessert, American, and Salads", 4.6 ,
66, Bombay Street Food," Indian, Chicken, Asian, and Curry", 4.8 ,
67, Tinseltown," American, Burgers, Chicken, and Milkshakes", 4.5 ,
68, Satay House," Malaysian, Chicken, and Noodles", 4.8 ,
69, Farmbird by Kitchen Ventures," British, Chicken, Healthy, and Salads", 4.7 ,
70, Wraps & Wings," Burgers, Wraps, Wings, and Chicken", 4.4 ,
