index,name,services,rating,bonus
38, Ambience," Burgers, Turkish, Seafood, and Salads", 4.5 ,
39, Handmade Burger Co - Wandsworth," Burgers, BBQ, Milkshakes, and American", 4.1 ,
40, The Farmer's Mistress," British, Burgers, Salads, and Milkshakes", 4.8 ,
41, Smack Lobster Roll ," American, Sandwiches, Burgers, and Seafood", 4.7 ,
42, Epic Vegan Chick ," American, Burgers, and Fried chicken", 4.6 ,
43, Smoke Daddies," American, Burgers, and Chicken", 4.6 ,
44, Papas Tops Pizza," Pizza, Dessert, Burgers, and Pasta", 4.5 ,
45, Seascape Fish Bar," Seafood, Fish and chips, Burgers, and Chicken", 4.6 ,
46, Piri Piri Grill - 14 Upper Tooting Road," Chicken, American, Fried chicken, and Burgers", 4.5 ,
47, EGGRUN 🥚🏃‍♂️," Sandwiches, Breakfast, Brunch, and Burgers", 4.8 ,
48, Lighthouse Fish Bar," British, Fish and chips, Burgers, and Chicken", 4.6 ,
49, Hudson's," British, Burgers, Salads, and Brunch", 4.6 ,
50, Gourmet 2," Lebanese, Falafel, Mezze, and Dessert", 4.6 ,
51, New Morley," Chicken, Western, Burgers, and BBQ", 4.2 ,
52, Roosters Piri Piri ," Chicken, American, Dessert, and Burgers", 4.4 ,
53, Best of Werty (Multi Brand Ordering)," American, Burgers, Chicken, and Dumplings", 4.5 ,
54, VBELLY , British and Burgers, 4.7 ,
55, Gun Smoke," American, Burgers, Chicken, and Milkshakes", 4.4 ,
56, Amigos Burgers ," Burgers, Chicken, American, and Milkshakes", 4.6 ,
57, Sunday Roast @ The Regent, British and Burgers, 4.4 ,
58, Victoria Grill Peri Peri," Burgers, Wraps, Chicken, and Salads", 4.7 ,
59, Cattle Grid @ The Earlsfield," American, Wings, Steak, and Burgers", 4.6 ,
60, Little Planted Kitchen ," British, Healthy, Salads, and Burgers", 4.6 ,
61, Ma Plucker Chicken," British, Burgers, Fried chicken, and Wings", 4.0 ,
62, Rosie Lee Cafe, Burgers and Turkish, 4.4 ,
63, Mother's Breakfast," Breakfast, Pizza, Bagels, and Thai", 4.6 ,
64, Capri Pizza Kebab & Fried Chicken," American, Pizza, Kebab, and Fried chicken", 4.0 ,
65, Pirates Burgers," American, Burgers, and Chicken", 4.6 ,
66, Costas Cafe & Burger House," Breakfast, Brunch, Burgers, and Drinks", 4.6 ,
67, Hot Dog Parade, American and Burgers, 4.3 ,
68, Chicken Rules ," American, Burgers, Chicken, and Fried chicken", 4.1 ,
69,   Asian Fried Chicken by Tampopo," Chicken, Fried chicken, Korean, and Asian", 4.1 ,
70, The Limes Burger, Burgers, 4.6 ,
